barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({34, 37, 45, 13, 15, 18, 20, 22, 25}), frozenset({34, 37, 41, 13, 45, 15, 18, 20, 25})]",2,"[[17, 19, 15], [15, 19, 17]]","[{36}, {26}]"
"[frozenset({34, 40, 8, 10, 45, 15, 21, 27, 30})]",1,"[[19, 15, 21]]",[{16}]
"[frozenset({37, 7, 9, 45, 19, 22, 25, 27, 29})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({39, 10, 42, 45, 14, 15, 18, 25, 29}), frozenset({39, 7, 42, 10, 45, 15, 18, 25, 29})]",2,"[[17, 15, 19], [15, 17, 19]]","[{16}, {17}]"
"[frozenset({36, 37, 7, 45, 14, 20, 23, 28, 30})]",1,"[[15, 17, 21]]",[{13}]
"[frozenset({37, 7, 10, 46, 18, 20, 28, 30, 31})]",1,"[[15, 19, 21]]",[{17}]
"[frozenset({32, 36, 8, 41, 12, 45, 46, 21, 29}), frozenset({32, 8, 41, 12, 45, 46, 16, 21, 29})]",2,"[[17, 15, 21], [17, 21, 15]]","[{13}, {31}]"
"[frozenset({37, 9, 42, 44, 17, 18, 20, 23, 28})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({32, 34, 37, 39, 11, 45, 15, 16, 21})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({34, 37, 40, 42, 45, 13, 14, 15, 25}), frozenset({34, 37, 40, 10, 42, 45, 14, 15, 25}), frozenset({32, 34, 37, 40, 10, 45, 14, 15, 25}), frozenset({32, 34, 37, 40, 10, 14, 15, 25, 29}), frozenset({32, 34, 37, 40, 10, 14, 15, 20, 25}), frozenset({34, 37, 40, 10, 42, 14, 15, 20, 25})]",6,"[[21, 15, 19], [17, 15, 19], [19, 15, 17], [19, 15, 21], [19, 23, 17], [17, 23, 19]]","[{24}, {16, 24, 26}, {16, 24, 36}, {16}, {36}, {26}]"
"[frozenset({32, 36, 7, 11, 45, 15, 21, 24, 29})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({32, 36, 7, 11, 44, 45, 20, 21, 23}), frozenset({32, 36, 7, 11, 44, 45, 17, 20, 23})]",2,"[[17, 17, 23], [23, 17, 17]]","[{13}, {29}]"
"[frozenset({32, 34, 37, 8, 40, 10, 15, 25, 31}), frozenset({32, 34, 37, 8, 40, 10, 15, 25, 29}), frozenset({32, 34, 37, 8, 40, 10, 15, 20, 25})]",3,"[[19, 15, 17], [19, 15, 21], [19, 23, 17]]","[{24}, {16}, {36}]"
"[frozenset({34, 7, 45, 14, 20, 21, 23, 26, 31})]",1,"[[21, 19, 15]]",[{35}]
"[frozenset({39, 7, 42, 10, 16, 20, 22, 27, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({32, 7, 9, 41, 11, 21, 25, 28, 29}), frozenset({32, 36, 7, 41, 9, 11, 21, 28, 29})]",2,"[[17, 21, 15], [17, 17, 23]]","[{31}, {13}]"
"[frozenset({39, 42, 13, 14, 15, 17, 19, 21, 30})]",1,"[[21, 15, 17]]",[{29}]
"[frozenset({34, 37, 7, 9, 10, 45, 13, 22, 25})]",1,"[[17, 19, 15]]",[{36}]
