barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({34, 37, 40, 10, 44, 15, 16, 22, 25}), frozenset({34, 37, 8, 40, 10, 44, 15, 22, 25}), frozenset({34, 37, 8, 40, 10, 15, 20, 22, 25}), frozenset({34, 37, 8, 40, 10, 15, 22, 25, 29}), frozenset({34, 37, 40, 10, 12, 15, 22, 25, 29}), frozenset({34, 37, 40, 10, 12, 15, 21, 22, 25})]",6,"[[17, 21, 17], [19, 15, 17], [19, 23, 17], [19, 15, 21], [17, 17, 21], [21, 17, 17]]","[{36}, {16, 24, 36}, {36}, {16}, {17}, {24}]"
"[frozenset({34, 37, 12, 13, 45, 18, 22, 23, 25}), frozenset({34, 37, 12, 13, 46, 45, 18, 23, 25})]",2,"[[17, 19, 15], [15, 19, 17]]","[{36}, {26}]"
"[frozenset({35, 36, 37, 7, 41, 14, 20, 23, 30})]",1,"[[15, 17, 21]]",[{13}]
"[frozenset({34, 37, 10, 45, 14, 15, 24, 25, 27}), frozenset({34, 37, 10, 45, 14, 15, 25, 27, 28}), frozenset({34, 37, 39, 10, 45, 14, 15, 25, 27}), frozenset({34, 37, 39, 10, 45, 14, 15, 46, 25}), frozenset({34, 37, 39, 10, 13, 46, 14, 15, 25}), frozenset({34, 37, 39, 10, 14, 46, 15, 20, 25})]",6,"[[19, 21, 15], [19, 17, 15], [19, 15, 17], [17, 15, 19], [21, 15, 19], [17, 23, 19]]","[{36}, {16, 35, 36}, {16, 24, 36}, {16, 24, 26}, {24}, {26}]"
"[frozenset({35, 7, 11, 44, 14, 20, 23, 30, 31})]",1,"[[15, 17, 21]]",[{13}]
"[frozenset({39, 10, 12, 46, 18, 21, 23, 27, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({32, 35, 7, 41, 9, 11, 20, 23, 26})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({34, 37, 40, 9, 44, 13, 18, 25, 27}), frozenset({34, 37, 40, 9, 44, 13, 46, 18, 25})]",2,"[[17, 21, 17], [15, 21, 19]]","[{36}, {26}]"
"[frozenset({34, 37, 8, 9, 45, 18, 19, 25, 26})]",1,"[[19, 17, 15]]",[{35}]
"[frozenset({9, 42, 44, 17, 22, 23, 24, 27, 30}), frozenset({9, 42, 44, 17, 20, 22, 23, 27, 30}), frozenset({9, 42, 10, 44, 20, 22, 23, 27, 30}), frozenset({35, 9, 10, 42, 44, 20, 22, 23, 30}), frozenset({9, 42, 10, 44, 13, 20, 22, 23, 30}), frozenset({9, 10, 42, 44, 13, 22, 23, 26, 30})]",6,"[[17, 23, 17], [23, 17, 17], [15, 19, 17], [15, 19, 21], [15, 21, 17], [23, 17, 17]]","[{31}, {29}, {17, 29, 31}, {17}, {31}, {29}]"
"[frozenset({35, 7, 9, 11, 44, 20, 26, 27, 28})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({34, 37, 41, 10, 14, 17, 18, 19, 25}), frozenset({34, 37, 41, 10, 14, 18, 19, 25, 30}), frozenset({34, 37, 7, 41, 10, 18, 19, 25, 30}), frozenset({34, 37, 7, 41, 10, 15, 18, 19, 25}), frozenset({34, 37, 7, 41, 10, 44, 15, 18, 25}), frozenset({34, 37, 41, 10, 44, 15, 18, 20, 25})]",6,"[[21, 17, 17], [17, 17, 21], [15, 19, 21], [15, 19, 17], [15, 17, 19], [15, 21, 19]]","[{35}, {16}, {17}, {17, 26, 35}, {24, 17, 26}, {26}]"
"[frozenset({32, 34, 8, 11, 45, 46, 19, 25, 26})]",1,"[[19, 17, 15]]",[{35}]
"[frozenset({32, 34, 37, 13, 14, 45, 17, 19, 30}), frozenset({32, 34, 37, 13, 14, 45, 17, 19, 25})]",2,"[[19, 17, 21], [19, 17, 15]]","[{20}, {35}]"
"[frozenset({8, 9, 44, 46, 18, 20, 26, 28, 30}), frozenset({35, 8, 9, 44, 46, 18, 20, 26, 28})]",2,"[[23, 17, 17], [17, 17, 23]]","[{29}, {13}]"
"[frozenset({35, 39, 9, 10, 42, 18, 23, 25, 30}), frozenset({39, 9, 42, 10, 18, 21, 23, 25, 30})]",2,"[[15, 17, 19], [23, 17, 17]]","[{17}, {29}]"
"[frozenset({34, 36, 10, 42, 12, 44, 18, 22, 25})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({37, 11, 44, 13, 46, 23, 24, 28, 30})]",1,"[[17, 23, 19]]",[{26}]
"[frozenset({35, 9, 42, 11, 44, 14, 20, 26, 28}), frozenset({9, 42, 11, 44, 14, 20, 26, 28, 30})]",2,"[[17, 17, 23], [23, 17, 17]]","[{13}, {29}]"
"[frozenset({32, 34, 7, 41, 10, 44, 15, 25, 26}), frozenset({32, 34, 7, 41, 10, 15, 25, 26, 28})]",2,"[[21, 17, 17], [21, 19, 15]]","[{24}, {35}]"
"[frozenset({35, 40, 9, 8, 20, 23, 26, 27, 31})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({36, 37, 7, 39, 46, 14, 20, 23, 30}), frozenset({37, 39, 7, 46, 14, 16, 20, 23, 30}), frozenset({37, 39, 7, 46, 14, 18, 20, 23, 30}), frozenset({39, 7, 46, 14, 18, 20, 23, 26, 30}), frozenset({35, 39, 7, 46, 14, 18, 20, 23, 26})]",5,"[[15, 17, 21], [15, 21, 19], [15, 17, 19], [23, 17, 17], [17, 17, 23]]","[{13}, {26}, {26, 13, 29}, {29}, {13}]"
"[frozenset({36, 7, 39, 9, 42, 17, 18, 20, 23})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({36, 7, 40, 44, 14, 20, 23, 25, 31}), frozenset({36, 7, 40, 44, 14, 17, 20, 23, 31})]",2,"[[15, 17, 21], [23, 17, 17]]","[{13}, {29}]"
"[frozenset({32, 34, 41, 10, 13, 14, 19, 23, 25})]",1,"[[19, 17, 15]]",[{35}]
"[frozenset({7, 10, 44, 46, 18, 20, 26, 28, 30}), frozenset({37, 7, 10, 44, 46, 18, 20, 28, 30}), frozenset({37, 7, 44, 46, 17, 18, 20, 28, 30}), frozenset({37, 7, 44, 46, 18, 20, 24, 28, 30})]",4,"[[25, 19, 17], [15, 19, 19], [25, 17, 19], [15, 21, 19]]","[{29}, {17, 26, 29}, {29}, {26}]"
"[frozenset({7, 42, 44, 13, 22, 23, 25, 28, 30}), frozenset({7, 42, 44, 13, 22, 23, 26, 28, 30})]",2,"[[15, 21, 17], [23, 17, 17]]","[{31}, {29}]"
"[frozenset({39, 8, 10, 45, 15, 21, 25, 27, 29})]",1,"[[19, 15, 21]]",[{16}]
"[frozenset({39, 9, 42, 13, 46, 16, 22, 25, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({32, 36, 9, 11, 44, 46, 20, 21, 28}), frozenset({32, 36, 9, 11, 44, 46, 17, 20, 28})]",2,"[[17, 17, 23], [23, 17, 17]]","[{13}, {29}]"
"[frozenset({7, 9, 44, 46, 17, 18, 20, 23, 31})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({42, 10, 44, 15, 16, 22, 23, 26, 30}), frozenset({42, 10, 44, 15, 16, 22, 23, 25, 30})]",2,"[[23, 17, 17], [15, 21, 17]]","[{29}, {31}]"
"[frozenset({8, 10, 42, 44, 19, 20, 22, 24, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({7, 40, 44, 18, 20, 22, 25, 28, 31})]",1,"[[21, 17, 15]]",[{29}]
"[frozenset({32, 39, 8, 9, 46, 17, 20, 23, 30}), frozenset({32, 39, 8, 9, 46, 17, 23, 24, 30})]",2,"[[23, 17, 17], [17, 23, 17]]","[{29}, {31}]"
"[frozenset({10, 42, 44, 16, 22, 23, 24, 27, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({32, 34, 9, 41, 17, 18, 20, 25, 28})]",1,"[[21, 19, 15]]",[{35}]
"[frozenset({34, 36, 10, 11, 46, 21, 27, 28, 29})]",1,"[[19, 17, 23]]",[{16}]
"[frozenset({34, 37, 41, 9, 13, 18, 23, 25, 28})]",1,"[[15, 19, 17]]",[{26}]
"[frozenset({32, 39, 9, 46, 20, 23, 26, 27, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({37, 40, 9, 44, 17, 20, 22, 27, 28})]",1,"[[21, 17, 15]]",[{29}]
"[frozenset({39, 8, 42, 13, 46, 19, 21, 26, 30})]",1,"[[21, 15, 17]]",[{29}]
"[frozenset({34, 36, 7, 11, 46, 14, 17, 20, 23})]",1,"[[23, 19, 17]]",[{35}]
"[frozenset({34, 7, 10, 45, 22, 23, 25, 28, 31}), frozenset({34, 37, 7, 10, 45, 22, 23, 25, 28}), frozenset({34, 37, 7, 10, 45, 22, 25, 28, 30})]",3,"[[21, 19, 15], [17, 19, 15], [17, 19, 23]]","[{35}, {17, 35, 36}, {17}]"
"[frozenset({34, 37, 7, 40, 9, 42, 13, 18, 25}), frozenset({32, 34, 37, 7, 40, 9, 13, 18, 25})]",2,"[[15, 21, 19], [17, 21, 17]]","[{26}, {36}]"
"[frozenset({10, 42, 12, 13, 44, 22, 24, 27, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({39, 42, 13, 17, 19, 22, 23, 25, 30}), frozenset({39, 9, 42, 13, 19, 22, 23, 25, 30}), frozenset({39, 9, 42, 13, 19, 22, 23, 26, 30})]",3,"[[21, 15, 17], [15, 21, 17], [23, 17, 17]]","[{29}, {31}, {29}]"
"[frozenset({32, 44, 13, 46, 16, 19, 23, 26, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({40, 9, 11, 14, 17, 20, 26, 28, 31}), frozenset({35, 40, 9, 11, 14, 20, 26, 28, 31})]",2,"[[21, 17, 15], [17, 17, 23]]","[{29}, {13}]"
"[frozenset({7, 42, 10, 44, 20, 22, 27, 28, 30}), frozenset({35, 7, 10, 42, 44, 20, 22, 28, 30}), frozenset({7, 10, 42, 44, 20, 22, 26, 28, 30}), frozenset({7, 10, 42, 44, 13, 20, 22, 28, 30}), frozenset({7, 42, 10, 44, 13, 22, 26, 28, 30})]",5,"[[15, 19, 17], [15, 19, 21], [25, 19, 17], [15, 21, 17], [23, 17, 17]]","[{17, 29, 31}, {17}, {29}, {31}, {29}]"
"[frozenset({34, 8, 11, 45, 19, 22, 25, 26, 31})]",1,"[[19, 17, 15]]",[{35}]
"[frozenset({39, 9, 42, 44, 17, 18, 20, 23, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({35, 40, 9, 11, 46, 20, 22, 23, 26})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({40, 10, 42, 12, 44, 15, 18, 25, 29}), frozenset({40, 42, 10, 44, 14, 15, 18, 25, 29})]",2,"[[15, 17, 19], [17, 15, 19]]","[{17}, {16}]"
"[frozenset({32, 34, 40, 10, 13, 15, 25, 27, 31})]",1,"[[19, 15, 17]]",[{24}]
"[frozenset({36, 9, 11, 44, 45, 19, 21, 24, 27})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({32, 8, 40, 9, 17, 20, 27, 28, 31}), frozenset({32, 35, 8, 40, 9, 20, 27, 28, 31})]",2,"[[21, 17, 15], [17, 17, 23]]","[{29}, {13}]"
"[frozenset({8, 42, 10, 44, 24, 25, 27, 28, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({32, 37, 7, 9, 11, 45, 19, 25, 29})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({37, 7, 42, 44, 13, 18, 23, 25, 30})]",1,"[[15, 21, 19]]",[{26}]
"[frozenset({32, 36, 8, 9, 11, 12, 45, 21, 24})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({39, 9, 42, 10, 15, 22, 24, 25, 30}), frozenset({34, 39, 9, 10, 42, 15, 22, 25, 30}), frozenset({34, 39, 10, 42, 15, 21, 22, 25, 30}), frozenset({34, 39, 8, 10, 42, 15, 22, 25, 30}), frozenset({34, 39, 8, 10, 42, 15, 20, 22, 30})]",5,"[[15, 21, 17], [15, 17, 19], [21, 15, 19], [17, 15, 19], [17, 25, 19]]","[{31}, {24, 17, 31}, {24}, {16, 24, 31}, {31}]"
"[frozenset({35, 39, 10, 44, 14, 19, 23, 25, 31})]",1,"[[17, 15, 19]]",[{16}]
"[frozenset({39, 11, 13, 46, 19, 21, 25, 27, 30}), frozenset({39, 11, 46, 16, 19, 21, 25, 27, 30}), frozenset({39, 10, 11, 46, 19, 21, 25, 27, 30}), frozenset({39, 41, 10, 11, 46, 19, 21, 27, 30})]",4,"[[21, 15, 17], [17, 23, 17], [19, 15, 17], [19, 15, 21]]","[{29}, {31}, {16, 29, 31}, {16}]"
"[frozenset({34, 36, 39, 8, 42, 12, 21, 25, 27})]",1,"[[17, 15, 21]]",[{13}]
"[frozenset({37, 7, 41, 11, 14, 18, 19, 25, 29})]",1,"[[15, 19, 17]]",[{26}]
"[frozenset({37, 40, 9, 42, 17, 18, 20, 25, 28}), frozenset({37, 40, 9, 10, 42, 18, 20, 25, 28}), frozenset({40, 9, 10, 42, 18, 20, 25, 28, 31}), frozenset({40, 9, 10, 18, 20, 25, 27, 28, 31}), frozenset({37, 40, 9, 10, 18, 20, 25, 27, 28}), frozenset({37, 40, 9, 10, 18, 20, 27, 28, 30})]",6,"[[23, 17, 17], [15, 19, 17], [15, 19, 21], [23, 19, 15], [17, 19, 15], [17, 19, 23]]","[{29}, {17, 26, 29}, {17}, {29}, {17, 36, 29}, {17}]"
"[frozenset({37, 7, 44, 46, 15, 18, 19, 24, 30})]",1,"[[15, 21, 19]]",[{26}]
"[frozenset({42, 44, 13, 15, 16, 18, 24, 27, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({37, 42, 12, 13, 45, 16, 18, 25, 29}), frozenset({37, 12, 13, 45, 16, 18, 22, 25, 29})]",2,"[[15, 19, 17], [17, 19, 15]]","[{26}, {36}]"
"[frozenset({34, 7, 41, 11, 18, 20, 23, 25, 31}), frozenset({34, 37, 7, 41, 11, 18, 20, 23, 25}), frozenset({34, 37, 7, 41, 18, 20, 21, 23, 25})]",3,"[[15, 19, 23], [15, 19, 17], [23, 19, 17]]","[{13}, {26, 35, 13}, {35}]"
"[frozenset({39, 12, 46, 15, 16, 22, 23, 26, 30})]",1,"[[23, 17, 17]]",[{29}]
